external_inverse_bits,residual_inverse_uncertainty,external_cost,internal_reconstruction_cost,externalization_surplus,record_equivalent_total_burden
0.0,12.0,0.0,79.2,79.2,12.0
0.10084033613445378,11.899159663865547,0.04125132405903538,79.2,79.15874867594097,11.90410982275263
0.20168067226890757,11.798319327731093,0.08433302732857849,79.2,79.11566697267142,11.808439291010522
0.3025210084033614,11.697478991596638,0.12924510980862935,79.2,79.07075489019137,11.712988404773673
0.40336134453781514,11.596638655462185,0.17598757149918792,79.2,79.02401242850081,11.617757164042088
0.5042016806722689,11.495798319327731,0.2245604124002542,79.2,78.97543958759975,11.522745568815761
0.6050420168067228,11.394957983193278,0.2749636325118283,79.2,78.92503636748818,11.427953619094698
0.7058823529411765,11.294117647058824,0.3271972318339101,79.2,78.8728027681661,11.333381314878894
0.8067226890756303,11.193277310924369,0.38126121036649957,79.2,78.8187387896335,11.23902865616835
0.907563025210084,11.092436974789916,0.43715556810959677,79.2,78.7628444318904,11.144895642963068
1.0084033613445378,10.991596638655462,0.4948803050632018,79.2,78.7051196949368,11.050982275263046
1.1092436974789917,10.890756302521009,0.5544354212273145,79.2,78.64556457877269,10.957288553068286
1.2100840336134455,10.789915966386555,0.615820916601935,79.2,78.58417908339807,10.863814476378787
1.3109243697478992,10.6890756302521,0.6790367911870631,79.2,78.52096320881294,10.770560045194548
1.411764705882353,10.588235294117647,0.7440830449826991,79.2,78.4559169550173,10.677525259515571
1.5126050420168067,10.487394957983193,0.8109596779888425,79.2,78.38904032201116,10.584710119341855
1.6134453781512605,10.38655462184874,0.879666690205494,79.2,78.3203333097945,10.4921146246734
1.7142857142857144,10.285714285714285,0.9502040816326531,79.2,78.24979591836735,10.399738775510203
1.815126050420168,10.184873949579831,1.0225718522703198,79.2,78.17742814772969,10.30758257185227
1.915966386554622,10.084033613445378,1.0967700021184945,79.2,78.10322999788151,10.215646013699597
2.0168067226890756,9.983193277310924,1.1727985311771767,79.2,78.02720146882282,10.123929101052186
2.1176470588235294,9.882352941176471,1.2506574394463668,79.2,77.94934256055363,10.032431833910035
2.2184873949579833,9.781512605042018,1.3303467269260645,79.2,77.86965327307394,9.941154212273146
2.319327731092437,9.680672268907562,1.4118663936162703,79.2,77.78813360638374,9.850096236141514
2.420168067226891,9.579831932773109,1.4952164395169836,79.2,77.70478356048302,9.759257905515147
2.5210084033613445,9.478991596638656,1.5803968646282043,79.2,77.6196031353718,9.66863922039404
2.6218487394957983,9.378151260504202,1.667407668949933,79.2,77.53259233105007,9.578240180778193
2.722689075630252,9.277310924369747,1.7562488524821696,79.2,77.44375114751783,9.488060786667607
2.823529411764706,9.176470588235293,1.8469204152249137,79.2,77.35307958477509,9.398101038062283
2.92436974789916,9.07563025210084,1.9394223571781657,79.2,77.26057764282184,9.30836093496222
3.0252100840336134,8.974789915966387,2.033754678341925,79.2,77.16624532165808,9.218840477367417
3.1260504201680672,8.873949579831933,2.1299173787161925,79.2,77.07008262128382,9.129539665277877
3.226890756302521,8.77310924369748,2.2279104583009675,79.2,76.97208954169903,9.040458498693596
3.327731092436975,8.672268907563025,2.3277339170962503,79.2,76.87226608290375,8.951596977614575
3.428571428571429,8.571428571428571,2.429387755102041,79.2,76.77061224489796,8.862955102040816
3.5294117647058822,8.470588235294118,2.532871972318339,79.2,76.66712802768167,8.774532871972319
3.630252100840336,8.369747899159664,2.638186568745145,79.2,76.56181343125486,8.686330287409081
3.73109243697479,8.26890756302521,2.7453315443824593,79.2,76.45466845561754,8.598347348351105
3.831932773109244,8.168067226890756,2.8543068992302807,79.2,76.34569310076972,8.51058405479839
3.9327731092436977,8.067226890756302,2.96511263328861,79.2,76.23488736671139,8.423040406750935
4.033613445378151,7.966386554621849,3.0777487465574462,79.2,76.12225125344256,8.335716404208743
4.1344537815126055,7.8655462184873945,3.1922152390367917,79.2,76.0077847609632,8.24861204717181
4.235294117647059,7.764705882352941,3.3085121107266438,79.2,75.89148788927336,8.161727335640139
4.336134453781512,7.663865546218488,3.426639361627003,79.2,75.773360638373,8.075062269613728
4.436974789915967,7.563025210084033,3.546596991737872,79.2,75.65340300826213,7.988616849092578
4.53781512605042,7.46218487394958,3.668385001059247,79.2,75.53161499894075,7.902391074076689
4.638655462184874,7.361344537815126,3.792003389591131,79.2,75.40799661040887,7.816384944566061
4.739495798319328,7.260504201680672,3.917452157333522,79.2,75.28254784266647,7.730598460560695
4.840336134453782,7.159663865546218,4.0447313042864215,79.2,75.15526869571359,7.645031622060588
4.9411764705882355,7.0588235294117645,4.173840830449827,79.2,75.02615916955017,7.559684429065744
5.042016806722689,6.957983193277311,4.3047807358237415,79.2,74.89521926417626,7.47455688157616
5.142857142857143,6.857142857142857,4.437551020408164,79.2,74.76244897959184,7.389648979591836
5.243697478991597,6.756302521008403,4.572151684203093,79.2,74.62784831579691,7.3049607231127744
5.344537815126051,6.655462184873949,4.708582727208531,79.2,74.49141727279147,7.220492112138973
5.445378151260504,6.554621848739496,4.846844149424475,79.2,74.35315585057553,7.136243146670433
5.546218487394958,6.453781512605042,4.986935950850929,79.2,74.21306404914907,7.0522138267071535
5.647058823529412,6.352941176470588,5.128858131487889,79.2,74.07114186851211,6.968404152249135
5.7478991596638656,6.2521008403361344,5.272610691335358,79.2,73.92738930866464,6.884814123296377
5.84873949579832,6.15126050420168,5.418193630393335,79.2,73.78180636960667,6.801443739848881
5.949579831932773,6.050420168067227,5.565606948661818,79.2,73.63439305133818,6.718293001906645
6.050420168067227,5.949579831932773,5.714850646140809,79.2,73.4851493538592,6.635361909469671
6.151260504201681,5.848739495798319,5.86592472283031,79.2,73.33407527716969,6.552650462537956
6.2521008403361344,5.7478991596638656,6.018829178730316,79.2,73.18117082126969,6.470158661111504
6.352941176470589,5.647058823529411,6.173564013840831,79.2,73.02643598615917,6.387886505190311
6.453781512605042,5.546218487394958,6.330129228161853,79.2,72.86987077183815,6.30583399477438
6.554621848739496,5.445378151260504,6.4885248216933835,79.2,72.71147517830661,6.22400112986371
6.65546218487395,5.34453781512605,6.648750794435422,79.2,72.55124920556457,6.142387910458301
6.756302521008403,5.243697478991597,6.810807146387967,79.2,72.38919285361203,6.060994336558153
6.857142857142858,5.142857142857142,6.9746938775510205,79.2,72.22530612244898,5.979820408163265
6.957983193277311,5.042016806722689,7.140410987924582,79.2,72.05958901207542,5.8988661252736385
7.0588235294117645,4.9411764705882355,7.307958477508651,79.2,71.89204152249135,5.818131487889273
7.159663865546219,4.840336134453781,7.477336346303227,79.2,71.72266365369677,5.737616496010168
7.260504201680672,4.739495798319328,7.648544594308312,79.2,71.55145540569168,5.657321149636325
7.3613445378151265,4.6386554621848735,7.821583221523905,79.2,71.3784167784761,5.5772454487677425
7.46218487394958,4.53781512605042,7.996452227950003,79.2,71.20354777205,5.49738939340442
7.563025210084033,4.436974789915967,8.17315161358661,79.2,71.02684838641339,5.41775298354636
7.663865546218488,4.336134453781512,8.351681378433726,79.2,70.84831862156628,5.338336219193559
7.764705882352941,4.235294117647059,8.53204152249135,79.2,70.66795847750865,5.259139100346021
7.865546218487395,4.134453781512605,8.71423204575948,79.2,70.48576795424052,5.180161627003742
7.966386554621849,4.033613445378151,8.898252948238119,79.2,70.30174705176188,5.101403799166725
8.067226890756302,3.9327731092436977,9.084104229927265,79.2,70.11589577007274,5.022865616834969
8.168067226890756,3.8319327731092443,9.271785890826918,79.2,69.92821410917308,4.9445470800084745
8.268907563025211,3.731092436974789,9.461297930937082,79.2,69.73870206906292,4.866448188687238
8.369747899159664,3.6302521008403357,9.652640350257752,79.2,69.54735964974225,4.788568942871266
8.470588235294118,3.5294117647058822,9.845813148788928,79.2,69.35418685121107,4.710909342560553
8.571428571428571,3.428571428571429,10.04081632653061,79.2,69.15918367346939,4.6334693877551025
8.672268907563025,3.3277310924369754,10.237649883482803,79.2,68.9623501165172,4.556249078454911
8.77310924369748,3.22689075630252,10.436313819645507,79.2,68.7636861803545,4.479248414659981
8.873949579831933,3.126050420168067,10.636808135018716,79.2,68.56319186498129,4.402467396370312
8.974789915966387,3.0252100840336134,10.839132829602429,79.2,68.36086717039757,4.325906023585905
9.07563025210084,2.92436974789916,11.043287903396653,79.2,68.15671209660334,4.249564296306758
9.176470588235293,2.8235294117647065,11.249273356401384,79.2,67.95072664359861,4.173442214532873
9.277310924369749,2.7226890756302513,11.457089188616626,79.2,67.74291081138338,4.097539778264246
9.378151260504202,2.621848739495798,11.666735400042372,79.2,67.53326459995763,4.0218569875008825
9.478991596638656,2.5210084033613445,11.878211990678624,79.2,67.32178800932138,3.946393842242779
9.579831932773109,2.420168067226891,12.091518960525386,79.2,67.10848103947461,3.8711503424899374
9.680672268907564,2.319327731092436,12.306656309582658,79.2,66.89334369041734,3.796126488242355
9.781512605042018,2.2184873949579824,12.523624037850437,79.2,66.67637596214956,3.721322279500035
9.882352941176471,2.117647058823529,12.74242214532872,79.2,66.45757785467129,3.646737716262975
9.983193277310924,2.0168067226890756,12.963050632017513,79.2,66.23694936798249,3.572372798531177
10.084033613445378,1.9159663865546221,13.185509497916813,79.2,66.01449050208319,3.49822752630464
10.184873949579833,1.815126050420167,13.409798743026625,79.2,65.79020125697338,3.424301899583362
10.285714285714286,1.7142857142857135,13.63591836734694,79.2,65.56408163265306,3.3505959183673464
10.38655462184874,1.61344537815126,13.863868370877764,79.2,65.33613162912224,3.2771095826565917
10.487394957983193,1.5126050420168067,14.093648753619096,79.2,65.10635124638091,3.203842892451098
10.588235294117647,1.4117647058823533,14.325259515570934,79.2,64.87474048442907,3.130795847750865
10.689075630252102,1.310924369747898,14.558700656733285,79.2,64.64129934326672,3.0579684485558922
10.789915966386555,1.2100840336134446,14.793972177106138,79.2,64.40602782289386,2.985360694866181
10.890756302521009,1.1092436974789912,15.031074076689501,79.2,64.1689259233105,2.9129725866817315
10.991596638655462,1.0084033613445378,15.270006355483371,79.2,63.92999364451663,2.8408041240025423
11.092436974789916,0.9075630252100844,15.510769013487748,79.2,63.68923098651226,2.768855306828614
11.19327731092437,0.8067226890756292,15.753362050702636,79.2,63.44663794929737,2.6971261351599454
11.294117647058824,0.7058823529411757,15.997785467128029,79.2,63.20221453287198,2.6256166089965394
11.394957983193278,0.6050420168067223,16.24403926276393,79.2,62.95596073723607,2.5543267283383937
11.495798319327731,0.5042016806722689,16.49212343761034,79.2,62.707876562389664,2.4832564931855092
11.596638655462185,0.40336134453781547,16.742037991667253,79.2,62.45796200833275,2.412405903537886
11.69747899159664,0.30252100840336027,16.993782924934685,79.2,62.20621707506532,2.341774959395522
11.798319327731093,0.20168067226890685,17.247358237412616,79.2,61.95264176258739,2.271363660758421
11.899159663865547,0.10084033613445342,17.502763929101054,79.2,61.69723607089895,2.20117200762658
12.0,0.0,17.76,79.2,61.44,2.1312
