lag,hidden_dimensions,kernel_norm,rho
0,1,0.18,0.72
1,1,0.1296,0.72
2,1,0.09331199999999999,0.72
3,1,0.06718463999999999,0.72
4,1,0.04837294079999999,0.72
5,1,0.03482851737599999,0.72
6,1,0.025076532510719993,0.72
7,1,0.018055103407718393,0.72
8,1,0.012999674453557243,0.72
9,1,0.009359765606561215,0.72
10,1,0.006739031236724075,0.72
11,1,0.004852102490441334,0.72
12,1,0.0034935137931177604,0.72
13,1,0.002515329931044787,0.72
14,1,0.0018110375503522466,0.72
15,1,0.0013039470362536175,0.72
16,1,0.0009388418661026045,0.72
17,1,0.0006759661435938752,0.72
18,1,0.0004866956233875902,0.72
19,1,0.0003504208488390649,0.72
20,1,0.0002523030111641267,0.72
21,1,0.00018165816803817126,0.72
22,1,0.0001307938809874833,0.72
23,1,9.417159431098797e-05,0.72
24,1,6.780354790391133e-05,0.72
25,1,4.8818554490816156e-05,0.72
26,1,3.514935923338763e-05,0.72
27,1,2.5307538648039092e-05,0.72
28,1,1.822142782658815e-05,0.72
29,1,1.3119428035143465e-05,0.72
30,1,9.445988185303295e-06,0.72
31,1,6.8011114934183725e-06,0.72
32,1,4.896800275261227e-06,0.72
33,1,3.5256961981880836e-06,0.72
34,1,2.53850126269542e-06,0.72
35,1,1.8277209091407024e-06,0.72
36,1,1.315959054581306e-06,0.72
37,1,9.474905192985401e-07,0.72
38,1,6.821931738949489e-07,0.72
39,1,4.911790852043632e-07,0.72
40,1,3.5364894134714144e-07,0.72
41,1,2.546272377699418e-07,0.72
42,1,1.833316111943581e-07,0.72
43,1,1.3199876005993784e-07,0.72
44,1,9.503910724315525e-08,0.72
45,1,6.842815721507177e-08,0.72
46,1,4.926827319485168e-08,0.72
47,1,3.5473156700293204e-08,0.72
48,1,2.5540672824211105e-08,0.72
49,1,1.8389284433431995e-08,0.72
50,1,1.3240284792071035e-08,0.72
51,1,9.533005050291145e-09,0.72
52,1,6.863763636209625e-09,0.72
53,1,4.94190981807093e-09,0.72
54,1,3.5581750690110687e-09,0.72
55,1,2.56188604968797e-09,0.72
56,1,1.8445579557753383e-09,0.72
57,1,1.3280817281582434e-09,0.72
58,1,9.562188442739351e-10,0.72
59,1,6.884775678772333e-10,0.72
0,2,0.36,0.745
1,2,0.2682,0.745
2,2,0.199809,0.745
3,2,0.14885770499999998,0.745
4,2,0.110898990225,0.745
5,2,0.082619747717625,0.745
6,2,0.06155171204963062,0.745
7,2,0.04585602547697481,0.745
8,2,0.03416273898034623,0.745
9,2,0.025451240540357942,0.745
10,2,0.01896117420256667,0.745
11,2,0.014126074780912169,0.745
12,2,0.010523925711779564,0.745
13,2,0.007840324655275777,0.745
14,2,0.005841041868180454,0.745
15,2,0.004351576191794437,0.745
16,2,0.003241924262886856,0.745
17,2,0.0024152335758507075,0.745
18,2,0.001799349014008777,0.745
19,2,0.001340515015436539,0.745
20,2,0.0009986836865002215,0.745
21,2,0.0007440193464426651,0.745
22,2,0.0005542944130997854,0.745
23,2,0.00041294933775934016,0.745
24,2,0.0003076472566307084,0.745
25,2,0.00022919720618987777,0.745
26,2,0.00017075191861145895,0.745
27,2,0.0001272101793655369,0.745
28,2,9.477158362732501e-05,0.745
29,2,7.060482980235712e-05,0.745
30,2,5.260059820275605e-05,0.745
31,2,3.918744566105326e-05,0.745
32,2,2.919464701748468e-05,0.745
33,2,2.1750012028026087e-05,0.745
34,2,1.6203758960879434e-05,0.745
35,2,1.207180042585518e-05,0.745
36,2,8.993491317262108e-06,0.745
37,2,6.700151031360271e-06,0.745
38,2,4.991612518363401e-06,0.745
39,2,3.7187513261807337e-06,0.745
40,2,2.7704697380046465e-06,0.745
41,2,2.0639999548134617e-06,0.745
42,2,1.537679966336029e-06,0.745
43,2,1.1455715749203416e-06,0.745
44,2,8.534508233156544e-07,0.745
45,2,6.358208633701626e-07,0.745
46,2,4.7368654321077113e-07,0.745
47,2,3.528964746920245e-07,0.745
48,2,2.6290787364555825e-07,0.745
49,2,1.9586636586594088e-07,0.745
50,2,1.4592044257012595e-07,0.745
51,2,1.0871072971474384e-07,0.745
52,2,8.098949363748416e-08,0.745
53,2,6.03371727599257e-08,0.745
54,2,4.495119370614464e-08,0.745
55,2,3.348863931107776e-08,0.745
56,2,2.494903628675293e-08,0.745
57,2,1.8587032033630937e-08,0.745
58,2,1.3847338865055046e-08,0.745
59,2,1.0316267454466009e-08,0.745
0,4,0.72,0.77
1,4,0.5544,0.77
2,4,0.426888,0.77
3,4,0.32870376,0.77
4,4,0.2531018952,0.77
5,4,0.194888459304,0.77
6,4,0.15006411366408,0.77
7,4,0.11554936752134161,0.77
8,4,0.08897301299143304,0.77
9,4,0.06850922000340345,0.77
10,4,0.052752099402620656,0.77
11,4,0.04061911654001791,0.77
12,4,0.031276719735813786,0.77
13,4,0.024083074196576616,0.77
14,4,0.018543967131363998,0.77
15,4,0.014278854691150276,0.77
16,4,0.010994718112185713,0.77
17,4,0.008465932946382999,0.77
18,4,0.00651876836871491,0.77
19,4,0.005019451643910481,0.77
20,4,0.00386497776581107,0.77
21,4,0.002976032879674524,0.77
22,4,0.0022915453173493836,0.77
23,4,0.0017644898943590254,0.77
24,4,0.0013586572186564496,0.77
25,4,0.0010461660583654662,0.77
26,4,0.0008055478649414091,0.77
27,4,0.000620271856004885,0.77
28,4,0.0004776093291237614,0.77
29,4,0.00036775918342529633,0.77
30,4,0.00028317457123747813,0.77
31,4,0.00021804441985285818,0.77
32,4,0.00016789420328670082,0.77
33,4,0.00012927853653075963,0.77
34,4,9.954447312868492e-05,0.77
35,4,7.66492443090874e-05,0.77
36,4,5.901991811799729e-05,0.77
37,4,4.544533695085791e-05,0.77
38,4,3.499290945216059e-05,0.77
39,4,2.694454027816366e-05,0.77
40,4,2.074729601418602e-05,0.77
41,4,1.5975417930923232e-05,0.77
42,4,1.230107180681089e-05,0.77
43,4,9.471825291244386e-06,0.77
44,4,7.293305474258177e-06,0.77
45,4,5.615845215178797e-06,0.77
46,4,4.324200815687674e-06,0.77
47,4,3.3296346280795085e-06,0.77
48,4,2.563818663621222e-06,0.77
49,4,1.974140370988341e-06,0.77
50,4,1.5200880856610225e-06,0.77
51,4,1.1704678259589873e-06,0.77
52,4,9.012602259884202e-07,0.77
53,4,6.939703740110836e-07,0.77
54,4,5.343571879885344e-07,0.77
55,4,4.1145503475117147e-07,0.77
56,4,3.1682037675840205e-07,0.77
57,4,2.439516901039696e-07,0.77
58,4,1.8784280138005658e-07,0.77
59,4,1.4463895706264357e-07,0.77
0,8,1.44,0.7949999999999999
1,8,1.1447999999999998,0.7949999999999999
2,8,0.9101159999999997,0.7949999999999999
3,8,0.7235422199999998,0.7949999999999999
4,8,0.5752160648999998,0.7949999999999999
5,8,0.4572967715954998,0.7949999999999999
6,8,0.3635509334184223,0.7949999999999999
7,8,0.2890229920676457,0.7949999999999999
8,8,0.2297732786937783,0.7949999999999999
9,8,0.18266975656155374,0.7949999999999999
10,8,0.1452224564664352,0.7949999999999999
11,8,0.11545185289081597,0.7949999999999999
12,8,0.09178422304819871,0.7949999999999999
13,8,0.07296845732331796,0.7949999999999999
14,8,0.05800992357203777,0.7949999999999999
15,8,0.04611788923977002,0.7949999999999999
16,8,0.036663721945617164,0.7949999999999999
17,8,0.02914765894676564,0.7949999999999999
18,8,0.023172388862678684,0.7949999999999999
19,8,0.018422049145829553,0.7949999999999999
20,8,0.014645529070934494,0.7949999999999999
21,8,0.01164319561139292,0.7949999999999999
22,8,0.009256340511057372,0.7949999999999999
23,8,0.00735879070629061,0.7949999999999999
24,8,0.005850238611501034,0.7949999999999999
25,8,0.004650939696143322,0.7949999999999999
26,8,0.0036974970584339405,0.7949999999999999
27,8,0.0029395101614549824,0.7949999999999999
28,8,0.002336910578356711,0.7949999999999999
29,8,0.0018578439097935847,0.7949999999999999
30,8,0.0014769859082858997,0.7949999999999999
31,8,0.0011742037970872902,0.7949999999999999
32,8,0.0009334920186843958,0.7949999999999999
33,8,0.0007421261548540945,0.7949999999999999
34,8,0.0005899902931090051,0.7949999999999999
35,8,0.00046904228302165903,0.7949999999999999
36,8,0.0003728886150022189,0.7949999999999999
37,8,0.00029644644892676394,0.7949999999999999
38,8,0.00023567492689677733,0.7949999999999999
39,8,0.00018736156688293798,0.7949999999999999
40,8,0.00014895244567193566,0.7949999999999999
41,8,0.00011841719430918884,0.7949999999999999
42,8,9.414166947580512e-05,0.7949999999999999
43,8,7.484262723326507e-05,0.7949999999999999
44,8,5.9499888650445724e-05,0.7949999999999999
45,8,4.7302411477104345e-05,0.7949999999999999
46,8,3.760541712429795e-05,0.7949999999999999
47,8,2.9896306613816872e-05,0.7949999999999999
48,8,2.376756375798441e-05,0.7949999999999999
49,8,1.88952131875976e-05,0.7949999999999999
50,8,1.5021694484140095e-05,0.7949999999999999
51,8,1.1942247114891372e-05,0.7949999999999999
52,8,9.49408645633864e-06,0.7949999999999999
53,8,7.547798732789219e-06,0.7949999999999999
54,8,6.000499992567428e-06,0.7949999999999999
55,8,4.770397494091105e-06,0.7949999999999999
56,8,3.792466007802428e-06,0.7949999999999999
57,8,3.01501047620293e-06,0.7949999999999999
58,8,2.396933328581329e-06,0.7949999999999999
59,8,1.9055619962221566e-06,0.7949999999999999
